,Cover_Type
430456,1
169324,2
76282,2
278663,2
285790,3
39402,2
173397,1
265321,2
156239,1
126582,2
143391,2
514340,1
169098,1
346643,2
212471,1
339444,2
409544,1
174661,1
77020,2
139508,2
389822,1
359318,1
57814,1
31019,2
482902,2
161807,1
136646,2
541536,7
256717,4
229218,1
111120,2
546570,1
310688,2
557588,1
65000,2
253658,3
378000,2
123998,2
78954,1
22339,2
472313,1
276396,2
551753,2
491329,1
273762,3
505934,1
30644,2
84725,2
201339,2
235420,6
119173,2
394999,1
12537,6
364406,2
76239,2
426520,1
87842,2
248823,3
26747,2
435012,1
243997,3
349137,1
64744,2
174783,2
238387,1
412647,2
462384,1
193170,2
153020,1
573988,3
68199,1
564932,2
271115,3
404254,3
327682,1
445405,1
2536,6
528256,2
396526,2
356024,1
411771,5
62277,2
350179,2
61137,1
343632,2
522270,1
30221,2
205739,2
415911,2
99237,2
446647,7
56214,2
402754,1
301709,2
195595,2
397545,1
288953,1
437171,1
160341,2
24299,2
214555,1
494442,1
475109,1
563636,1
549109,2
568829,2
70194,2
126848,2
539283,7
208643,1
170531,2
165131,1
438026,1
436347,1
70833,2
552069,1
487724,2
231618,7
389682,1
33804,2
245904,2
245605,3
201019,1
331122,2
543848,1
297048,2
20096,1
312783,1
470792,1
219242,1
99483,2
356925,2
434522,1
157202,2
276809,1
316324,2
46678,2
67910,2
48362,1
441297,1
469964,1
331996,2
474638,1
119443,1
489887,2
409550,1
363351,3
428745,1
312236,1
20941,2
533121,1
579406,3
361591,3
105691,2
151957,2
510591,1
310582,2
158051,1
195448,1
496861,1
488776,2
99749,1
462726,1
357715,1
170915,1
522412,1
237099,1
572132,3
60275,1
359546,1
429317,2
267924,2
247231,3
411895,1
218693,1
177018,1
107362,2
434250,2
419069,2
536358,1
419089,6
494979,1
99962,2
323728,1
67876,2
459841,1
114669,2
171745,2
84085,2
544693,1
204904,2
405110,1
218826,2
261068,2
502229,1
395437,3
218625,1
548480,2
460256,7
142974,2
214278,1
421427,1
320747,1
80853,2
257381,3
150848,2
427091,1
96803,2
300612,1
576771,3
111271,2
124522,2
6551,5
51571,1
274376,3
362763,3
520936,1
227802,1
392441,2
79867,2
291497,2
351746,2
193127,1
416333,2
297016,1
276371,2
569091,6
44106,1
112193,2
105604,2
474618,2
228462,2
284902,1
18815,2
215381,2
309343,1
203335,1
230933,1
441064,1
23332,2
534357,2
72623,1
555009,2
168952,2
255206,2
185951,2
372748,3
576333,2
563948,2
578075,3
552765,1
390616,1
304696,6
332537,2
8759,1
186275,2
472321,1
26379,2
405747,1
524307,1
266405,1
196759,2
347177,1
527333,2
472575,2
375605,2
144412,2
87173,2
119468,1
102070,2
166262,1
440621,2
37876,2
238345,6
433580,1
461388,2
213413,1
325294,2
570610,3
143361,2
549954,2
311481,1
305353,1
409466,2
521689,2
477998,1
472955,7
365120,1
132107,2
496506,2
221651,2
570960,2
305016,2
565227,6
2749,6
572557,3
491862,1
471844,2
482446,1
385754,1
271270,6
258228,2
126744,2
377075,6
221097,1
326652,2
180213,1
270900,1
117561,2
427738,1
125446,2
299683,6
21298,2
199407,5
406357,1
194475,2
447146,1
70883,2
106764,2
535912,1
40343,2
89626,2
373387,2
121649,2
177823,1
250199,2
162584,2
412089,7
452410,7
352540,1
372258,2
391237,7
217228,1
126799,2
518426,2
366745,3
578381,6
250387,2
80269,2
439372,2
224574,2
234565,7
566087,2
393235,1
296682,2
210439,2
64718,2
127418,1
471327,1
547795,2
228392,2
6057,3
511770,2
276480,2
351131,2
152683,1
457467,1
440017,2
499953,1
178905,1
130756,2
305382,1
181591,1
32286,1
240561,2
182398,1
9325,7
514862,1
95498,2
159004,1
464314,2
423966,2
361913,1
365100,1
26152,1
514665,1
453360,1
457692,1
330394,2
98995,2
415240,3
485552,7
298539,3
321264,2
70128,2
461280,1
312752,2
456933,2
92484,1
516840,1
328712,2
556344,1
361233,2
168786,2
528062,1
101719,1
332761,2
197656,2
530591,1
340613,2
407402,2
195294,2
432639,1
210167,2
35833,1
43614,1
372794,3
347478,2
471391,1
257859,3
547007,1
162769,2
377031,2
474723,1
219786,2
138118,2
540246,1
577510,3
343480,1
558191,2
39074,2
465756,1
25829,2
545633,1
265033,3
168998,2
107029,2
577371,3
142713,2
34921,2
402619,2
55708,2
218999,1
169658,2
291589,3
140837,1
260302,2
416077,1
189509,1
414658,1
82918,2
30495,2
227701,3
259584,3
562696,1
107044,2
340370,1
325902,1
136331,2
497512,2
302451,1
218466,2
214764,2
99886,2
31042,2
287976,2
222347,2
201140,1
237151,2
238556,1
97658,2
502859,2
291476,1
419522,2
543374,1
318142,1
137012,2
315919,2
334449,1
563068,2
575464,6
74938,1
286950,3
445851,1
180719,2
160443,1
315258,1
146553,2
279922,2
155619,2
304710,6
90038,1
175407,1
184927,1
477013,2
121378,2
203922,1
16500,5
334841,1
306322,1
328801,2
316022,2
60885,2
553254,2
392444,2
463004,1
50041,2
249759,2
103490,2
375293,2
524389,2
231411,1
475093,2
508268,1
578189,3
157698,2
563772,1
435585,1
556590,2
507869,2
390179,2
225273,6
372880,2
325785,2
115632,2
175690,2
298513,6
55776,2
374232,7
188674,1
61848,2
230210,1
262488,2
506758,2
267159,3
129739,2
58163,2
133141,1
496988,1
460858,1
207492,1
163920,2
66113,1
437032,1
440475,1
375835,1
195016,1
324403,2
135997,1
3690,3
245786,2
332598,1
499468,2
109244,1
169674,2
520590,1
183739,1
79056,2
339682,1
226191,2
475321,2
398890,1
11216,3
496614,1
579735,6
198956,1
277224,3
569302,2
325221,2
355001,1
498877,1
578871,3
85691,2
376328,2
76195,2
35410,1
200978,1
336254,1
383167,1
430168,2
175111,2
177940,2
38481,2
370473,2
337509,7
288318,1
224347,2
345469,2
259949,5
463059,7
544187,1
507467,1
512293,2
163190,1
146520,2
234705,2
311468,1
185249,2
55922,1
181170,2
286020,6
17096,2
104847,2
307486,1
23749,2
28062,2
479915,1
376214,2
544962,1
91446,1
204818,2
238546,1
498471,2
430748,1
509777,2
576928,6
288721,3
528514,1
305515,2
152220,2
437167,1
504138,1
216839,2
562847,1
546465,2
510394,2
88639,2
221054,1
396188,1
440889,1
28173,2
95549,2
7886,7
432474,1
188641,1
448427,2
486930,2
15492,2
427762,2
144380,2
349056,1
539699,1
390960,1
252987,2
464963,2
125124,1
399336,1
507192,1
418071,1
70910,2
246467,2
336280,1
338818,2
382499,1
320855,1
158785,2
382547,2
355830,7
485586,2
125036,2
519862,1
406894,2
253244,1
222436,2
486067,2
14375,1
374454,2
455292,2
31260,1
489679,1
434495,2
42072,1
477007,2
532086,1
288278,6
454691,1
365802,2
490668,1
229231,1
444342,1
488393,2
404353,2
339589,1
105462,2
525623,1
154178,2
327947,1
519954,2
472498,7
267611,3
14756,7
185949,2
115954,2
284129,3
263344,1
481808,1
70851,2
291873,1
299979,2
317060,1
171676,2
344237,2
292668,6
547065,1
578248,3
322141,1
126836,2
32013,2
92432,2
227393,2
505104,2
509375,1
539789,7
41627,1
495918,1
467349,2
219214,5
28125,2
406406,2
371293,1
506768,2
424470,1
398752,2
449742,2
33981,2
72018,2
556800,2
553508,2
557172,2
313377,1
540733,1
517391,2
62580,2
90017,1
100297,1
155874,2
93508,2
556707,2
112635,2
513408,1
364821,2
457604,7
415264,6
258977,3
260952,2
289485,1
51020,2
535238,2
298392,1
470599,2
535097,2
95417,2
102539,1
4979,6
174750,1
565575,2
546648,2
560145,6
333192,2
414412,1
560771,2
470621,2
37088,1
229331,2
468446,2
505267,1
471406,2
157981,2
508691,2
521746,2
202292,1
451562,1
563480,2
521979,1
317430,2
443904,2
235136,2
471162,1
427542,1
219493,2
53602,1
274963,3
396742,3
552228,2
258142,2
332464,3
168216,1
417681,1
25060,2
49501,2
263312,1
356813,1
132936,2
185502,1
458501,1
450397,1
70330,2
491895,2
234452,6
127610,2
520717,1
416648,1
49011,2
500803,1
185979,2
567273,6
255553,3
436438,1
491213,1
501843,1
97746,2
312151,2
197678,2
177789,2
404559,1
151815,2
127575,2
69957,2
146658,1
5390,2
79142,1
105911,1
158116,2
82760,2
95005,2
20933,2
474691,2
322758,2
243223,5
573361,3
340228,7
501098,1
407552,2
453434,1
258497,3
535659,1
374614,1
123300,2
120960,2
388869,2
52395,2
37529,2
113799,2
570484,2
115866,2
460162,1
207154,1
134604,2
476955,2
465478,1
65878,2
96700,2
54543,2
155050,2
52638,2
318865,1
16399,2
